id;name;quantity;price;created_at;updated_at
1;scamper nectarine tedious;32747;1589.23;2026-03-31T20:28:15;2026-03-31T20:05:44
2;depart notwithstanding especially;756;25334.17;2026-03-31T22:22:52;2026-03-31T17:23:16
3;ramp reprove;27383;9940.95;2026-04-01T06:13:32;2026-03-31T15:16:23
4;justly rectangular;2475;4398.82;2026-03-31T11:24:33;2026-03-31T08:50:34
5;jubilantly who who;22185;7492.75;2026-03-31T21:53:29;2026-04-01T05:05:32
6;through requite abaft;6762;18204.64;2026-03-31T07:51:55;2026-03-31T10:04:10
7;necklace justly;18552;3984.98;2026-03-31T18:13:46;2026-04-01T02:28:03
8;cellar trust instruction;22647;690.67;2026-03-31T09:53:36;2026-04-01T07:32:09
9;slushy;12234;268.53;2026-03-31T16:54:06;2026-04-01T01:33:48
10;where design;7510;14797.02;2026-03-31T20:52:46;2026-03-31T23:48:29
